carat,cut,color,clarity,depth,table,price,x,y,z,latitude,longitude 
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,39.8813889,-83.0930556
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,33.415,-111.5488889
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,40.1672222,-105.1013889
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,37.3711111,-85.5830556
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,48.5394444,-121.745
0.24,VeryGood,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,38.7705556,-81.5533333
0.24,VeryGood,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,35.5780556,-108.3213889
0.26,VeryGood,H,SI1,61.9,55.0,337,4.07,4.11,2.53,53.916667,-122.766667
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,33.3869444,-84.2830556
0.23,VeryGood,H,VS1,59.4,61.0,338,4.0,4.05,2.39,47.6063889,-122.3308333
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,41.5286111,-109.4655556
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,47.8108333,-122.3761111
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,43.5680556,-83.5141667
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,34.2255556,-77.945
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,28.3197222,-80.6077778
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,37.6941667,-122.0852778
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,55.07203,-6.51699
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,34.0522222,-118.2427778
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,30.5880556,-103.8941667
0.3,VeryGood,J,SI1,,59.0,351,4.21,4.27,2.66,41.6005556,-93.6088889
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,47.7758333,-117.545
0.23,VeryGood,E,VS2,63.8,55.0,352,3.85,3.92,2.48,51.514125,-0.093689
0.23,VeryGood,H,VS1,61.0,57.0,353,3.94,3.96,2.41,52.033333,-0.633333
0.31,VeryGood,J,SI1,59.4,62.0,353,4.39,4.43,2.62,34.2247222,-118.4488889
0.31,VeryGood,J,SI1,58.1,62.0,353,4.44,4.47,2.59,35.5463889,-77.0525
0.23,VeryGood,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,27.4463889,-80.3258333
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,34.0469444,-116.58
0.3,VeryGood,J,VS2,62.2,57.0,357,4.28,4.3,2.67,57.166667,-2.666667
0.23,VeryGood,D,VS2,60.5,61.0,357,3.96,3.97,2.4,32.2216667,-110.9258333
0.23,VeryGood,F,VS1,60.9,57.0,357,3.96,3.99,2.42,37.3402778,-95.2608333
0.23,VeryGood,F,VS1,60.0,57.0,402,4.0,4.03,2.41,43.119514,-75.218775
0.23,VeryGood,F,VS1,59.8,57.0,402,4.04,4.06,2.42,40.5866667,-122.3905556
0.23,VeryGood,E,VS1,60.7,59.0,402,3.97,4.01,2.42,42.3266667,-122.8744444
0.23,VeryGood,E,VS1,59.5,58.0,402,4.01,4.06,2.4,36.175,-115.1363889
0.23,VeryGood,D,VS1,61.9,58.0,402,3.92,3.96,2.44,34.7444444,-120.2772222
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,42.4811111,-74.6108333
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,39.0019444,-87.9088889
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,33.4222222,-111.8219444
0.26,VeryGood,D,VS2,60.8,59.0,403,4.13,4.16,2.52,42.8666667,-88.3333333
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,52.118759,5.40633
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,46.1880556,-123.83
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,44.495205,34.166301
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,35.4119444,-99.4038889
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,40.925,-98.3416667
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,36.0652778,-119.0158333
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,30.3155556,-89.2475
0.32,VeryGood,H,SI2,61.8,55.0,403,4.35,4.42,2.71,37.9522222,-122.5561111
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,42.1538889,-88.1361111
0.25,VeryGood,E,VS2,63.3,60.0,404,4.0,4.03,2.54,44.314844,-85.602364
0.29,VeryGood,H,SI2,60.7,60.0,404,4.33,4.37,2.64,26.0625,-80.2333333
0.24,VeryGood,F,SI1,60.9,61.0,404,4.02,4.03,2.45,45.6388889,-122.6602778
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,42.2411111,-83.6130556
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,36.4613889,-77.6544444
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,43.85,-79.016667
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,44.9444444,-93.0930556
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,33.0580556,-112.0469444
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,33.9608333,-83.3780556
0.3,VeryGood,I,SI1,62.6,57.0,405,4.25,4.28,2.67,44.0125,-75.7947222
0.3,VeryGood,I,SI1,63.0,57.0,405,4.28,4.32,2.71,36.798432,-119.598721
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,25.1,-76.133333
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,42.2769444,-73.9572222
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,37.1738889,-95.1944444
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,38.9011111,-77.2655556
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,34.2977778,-83.8241667
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,35.1894444,-114.0522222
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,41.45,-71.45
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,36.175,-115.1363889
0.31,VeryGood,G,SI1,63.3,57.0,553,4.33,4.3,2.73,-35.27603,149.13435
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,45.1672222,-91.1491667
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,40.8688889,-74.2086111
0.24,VeryGood,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,36.1658333,-86.7844444
0.3,VeryGood,H,SI1,63.1,56.0,554,4.29,4.27,2.7,42.8666667,-106.3125
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,47.4180556,-122.6297222
0.3,Premium,H,SI1,,57.0,554,,,2.67,53.766667,-2.35
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,33.7669444,-118.1883333
0.26,VeryGood,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,43.0730556,-89.4011111
0.26,VeryGood,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,34.0522222,-118.2427778
0.26,VeryGood,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,53.2,-105.75
0.26,VeryGood,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,39.8397222,-74.1905556
0.26,VeryGood,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,39.0997222,-94.5783333
0.26,VeryGood,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,51.616667,0.416667
0.26,VeryGood,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,29.984092,-90.152852
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,40.4166667,-86.8752778
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,40.015,-105.27
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,53.583333,-1.65
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,41.6827778,-88.3513889
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,27.411695,-82.428522
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,46.9752778,-123.8641667
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,27.850278,-82.174722
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,41.7194444,-84.2180556
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,28.6802778,-81.5097222
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,38.7152778,-123.4533333
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,38.7308333,-88.0852778
0.71,VeryGood,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,26.8230556,-80.1388889
0.78,VeryGood,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,34.2569444,-85.1647222
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,-15.601411,-56.097892
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,34.048928,-111.093731
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,42.4605556,-83.6516667
0.73,VeryGood,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,43.0302778,-83.1661111
